"id_responsavel","nome_responsavel","cpf"
107,"
Adriana Samara Portes","645.108.294-39"
108,"
Maicon Elielton Sabino","270.981.453-74"
109,"
Joana Mirela Coelho","196.034.285-51"
110,"
Leandro Bruno Assunção","139.875.046-07"
111,"
Marília Clara Targino","371.060.289-92"
112,"
Alex Rodrigo Dorneles","625.340.179-69"
113,"
Eduarda Luanne Barreto","946.720.843-33"
114,"
Fábio Ricardo Fragoso","084.215.739-50"
115,"
Tainara Luziane Rios","728.309.451-06"
116,"
Caetano Murilo Paredes","512.689.730-95"
117,"
Flávia Jordana Soares","308.962.417-48"
118,"
Pedro Miguel Alcântara","483.702.869-73"
119,"
Samara Yasmim Andrade","631.582.049-22"
120,"
Raul Cristiano Trindade","314.750.820-37"
121,"
Vitória Solange Ramos","208.659.134-69"
122,"
André Luiz Bonfim","802.407.953-14"
123,"
Mônica Elisa Batista","170.925.613-99"
124,"
Eduardo Fernando Teles","465.378.290-52"
125,"
Laís Yara Azevedo","584.013.760-05"
126,"
Enzo Gabriel Saldanha","199.347.682-84"
127,"
Elen Cristina Rebouças","010.964.527-30"
128,"
Mauro Vinícius Esteves","587.142.903-61"
129,"
Clarissa Danielle Muniz","921.583.476-45"
130,"
Ricardo Mário Gomes","671.308.452-81"
131,"
Natália Simone Cunha","305.978.216-92"
132,"
Breno Vitorino Arantes","243.095.684-73"
133,"
Evelyn Jaqueline Rabelo","483.216.957-09"
134,"
Samuel Eduardo Beltrão","068.920.145-30"
135,"
Aline Rayana Peixoto","580.974.861-67"
136,"
Otávio Rafael Dornelas","920.380.174-42"
137,"
Camila Fernanda Valente","403.157.928-19"
138,"
Tales Luciano Amorim","789.201.643-50"
139,"
Paula Eliane Mesquita","304.918.065-22"
140,"
Maurício Eron Rolim","658.190.402-73"
141,"
Thaís Rafaella Braga","213.960.745-90"
142,"
Rodrigo Lázaro Furtado","902.376.548-67"
143,"
Mariana Yara Campos","391.027.185-81"
144,"
Francisco Vítor Neri","008.674.203-58"
145,"
Carla Milena Pereira","521.084.739-66"
146,"
Felipe Ramon Duarte","098.217.563-40"
147,"
Heloísa Juliane Godói","743.690.215-82"
148,"
Gustavo Ítalo Barreto","306.148.970-09"
149,"
Ingrid Samira Monteiro","870.295.431-77"
150,"
Caio Felipe Cantalice","132.968.054-21"
